Jakarta,Surabaya,Semarang,Cilacap
0.5688969,1.90188,0.5597579,0.7972278
0.5184949,1.824397,0.5688237,0.5744944
0.4682082,1.689888,0.5766888,0.505934
0.4115926,1.553218,0.5971335,0.6105039
0.355455,1.465389,0.6411655,0.8615169
0.3173083,1.459881,0.7131246,1.193681
0.3124196,1.543817,0.8077538,1.519962
0.3423256,1.696335,0.9098825,1.753938
0.3950775,1.87427,0.9977151,1.832019
0.4563857,2.023698,1.048725,1.729727
0.5206718,2.094297,1.045844,1.468097
0.5916818,2.052846,0.9817498,1.108483
0.6726471,1.892402,0.8606085,0.7372255
0.7562807,1.634948,0.6977057,0.4440206
0.8249632,1.326832,0.5173706,0.2995699
0.8617721,1.028136,0.3489631,0.3380484
0.862459,0.7987483,0.2207134,0.548837
0.8374853,0.6844531,0.1525826,0.8795045
0.8024363,0.7064581,0.150854,1.249194
0.7657823,0.8569214,0.2070415,1.568941
0.7249731,1.10129,0.3016189,1.763839
0.6736559,1.386886,0.4105,1.79133
0.6121344,1.655453,0.511151,1.651223
0.5505465,1.856568,0.5866128,1.384928
0.5015496,1.958684,0.6278123,1.064272
0.4697384,1.955262,0.6352595,0.772816
0.4481851,1.864594,0.6198829,0.5845575
0.4258006,1.723701,0.601253,0.5452892
0.3987866,1.577993,0.6016648,0.6614404
0.3756044,1.469277,0.6374634,0.899024
0.3708774,1.425339,0.711673,1.192836
0.3938984,1.453361,0.8121239,1.463541
0.4420944,1.53894,0.9159865,1.638156
0.5047482,1.650597,0.9976676,1.668698
0.5725358,1.748606,1.035545,1.544407
0.6432756,1.79578,1.015421,1.294372
0.7185862,1.767511,0.9318845,0.9800737
0.7953224,1.658513,0.7900148,0.679827
0.8609493,1.484711,0.6075952,0.469056
0.8983928,1.279788,0.4148988,0.4013923
0.8967228,1.087391,0.2488475,0.4954261
0.8584521,0.9507822,0.1420619,0.7302497
0.7971334,0.9026896,0.1118434,1.050841
0.7276888,0.9574828,0.1553318,1.381922
0.6581638,1.107825,0.2532357,1.646558
0.5895046,1.326213,0.3788162,1.784979
0.5221113,1.571237,0.5060297,1.768866
0.4615307,1.79675,0.6133204,1.607589
0.417179,1.962024,0.6844458,1.345042
0.395138,2.040255,0.7102801,1.048061
0.3923323,2.0238,0.6929827,0.7893101
0.3981909,1.924781,0.6491801,0.6292195
0.4029813,1.771329,0.6069645,0.6012959
0.4056025,1.600292,0.5953277,0.704502
0.4140975,1.448429,0.6309772,0.9044901
0.4387332,1.343979,0.7106718,1.143158
0.4839825,1.300811,0.8137316,1.353966
0.5461729,1.316137,0.9120849,1.479141
0.6177727,1.372475,0.9803576,1.484344
0.6931543,1.442947,1.00045,1.367165
0.7698736,1.498844,0.9611872,1.157489
0.8445107,1.517234,0.8583821,0.9096581
0.908019,1.487094,0.6986388,0.6885508
0.9461911,1.412253,0.5043236,0.5532109
0.9461955,1.310641,0.3129168,0.5419983
0.9041755,1.209993,0.166898,0.6630633
0.8277536,1.141049,0.09792956,0.8923648
0.7316209,1.12986,0.1148744,1.179626
0.6301954,1.191102,0.2031242,1.460637
0.5332388,1.323853,0.3344347,1.672833
0.4467694,1.51091,0.479158,1.77016
0.3765013,1.721905,0.6128295,1.733742
0.3290073,1.919324,0.7159523,1.575746
0.3088735,2.066375,0.7728212,1.335677
0.3146374,2.134767,0.7750514,1.070174
0.3380765,2.110708,0.7289128,0.8389922
0.3684758,1.997836,0.6589395,0.6906005
0.3989155,1.816415,0.6010486,0.6510293
0.4296798,1.598939,0.5866125,0.7185061
0.4663797,1.383259,0.6272277,0.8650989
0.514829,1.204623,0.7104552,1.044709
0.5769963,1.088525,0.808559,1.205388
0.6506099,1.045856,0.8925584,1.302624
0.7313399,1.071541,0.9411835,1.310534
0.8143386,1.146683,0.9410447,1.22805
0.893458,1.244014,0.8832343,1.078774
0.9594364,1.334931,0.7643725,0.9046656
1.000059,1.3968,0.5938104,0.7552286
1.003594,1.418531,0.4000036,0.6748682
0.9638075,1.403214,0.2267548,0.6917454
0.8831343,1.367047,0.117647,0.8105925
0.7719898,1.334907,0.0973385,1.011373
0.6451055,1.333454,0.1623712,1.253918
0.5175856,1.383554,0.2870827,1.487362
0.4027236,1.493815,0.438641,1.662012
0.3113025,1.656907,0.5891816,1.740876
0.2509949,1.849707,0.7180911,1.707927
0.2249963,2.037434,0.8078828,1.571416
0.2308775,2.180857,0.8432113,1.36145
0.2611831,2.245158,0.8178606,1.122576
0.3062684,2.208192,0.7444263,0.9032487
0.3579477,2.066352,0.6556632,0.7447709
0.4118868,1.836401,0.5920566,0.6722296
0.4676986,1.552843,0.5818442,0.6896361
0.5274179,1.261152,0.6273673,0.780169
0.5937223,1.008449,0.7071063,0.9113196
0.668663,0.8336737,0.7903646,1.043616
0.7524737,0.7595114,0.8521327,1.140647
0.8421396,0.7880208,0.8777721,1.178023
0.9301363,0.9010377,0.8582227,1.149122
1.004728,1.065154,0.7856105,1.066299
1.052463,1.24029,0.6574635,0.9573768
1.062062,1.389562,0.4871843,0.8583939
1.02767,1.488204,0.3093705,0.8043172
0.9499891,1.529226,0.1709566,0.8200888
0.8355684,1.52441,0.1108523,0.914048
0.6955225,1.500277,0.1418025,1.075361
0.5446657,1.490172,0.2472977,1.275988
0.4003831,1.524211,0.394457,1.476793
0.2800646,1.619877,0.5513657,1.63624
0.1969651,1.775666,0.6956197,1.719782
0.1564584,1.969501,0.8110155,1.707669
0.1552108,2.162662,0.8812426,1.599464
0.1841572,2.308406,0.8915173,1.414174
0.2333011,2.36319,0.8394943,1.186109
0.2951515,2.297958,0.7451659,0.9573068
0.3650482,2.106514,0.6475838,0.7684228
0.4395922,1.808743,0.5868147,0.6500215
0.5158245,1.447863,0.582989,0.6163652
0.592383,1.081928,0.6277827,0.6629849
0.6710614,0.7715816,0.693839,0.768608
0.7558762,0.5670219,0.7529601,0.9008509
0.8488792,0.4970709,0.7880229,1.024336
0.9453113,0.5632503,0.7915087,1.109355
1.03235,0.7401967,0.7570169,1.138912
1.093125,0.9824316,0.6765693,1.112625
1.113633,1.235754,0.5491767,1.046428
1.087654,1.450527,0.3929087,0.9683002
1.016768,1.593482,0.2467316,0.9109053
0.9070057,1.655101,0.155806,0.9030139
0.7662783,1.650638,0.1489487,0.9616266
0.6052598,1.614684,0.2247797,1.086925
0.4398221,1.590376,0.3564715,1.261125
0.2907529,1.616339,0.5097371,1.451831
0.1783585,1.714653,0.6586074,1.618944
0.1146662,1.883058,0.7877877,1.7238
0.0989713,2.093591,0.884468,1.738266
0.1205462,2.298304,0.9324837,1.651766
0.1664493,2.440639,0.9182965,1.474376
0.2282332,2.469942,0.8447943,1.235339
0.3027872,2.355164,0.7387658,0.9769922
0.3880901,2.094465,0.6416853,0.7457683
0.4793505,1.717907,0.5880198,0.5820422
0.5700878,1.28253,0.5869397,0.5113189
0.6570788,0.8605774,0.6213561,0.5387894
0.7435519,0.52391,0.6634786,0.6486603
0.8359639,0.3279353,0.6927277,0.8082907
0.9359282,0.2994688,0.7016422,0.9764151
1.033978,0.4311652,0.688248,1.113216
1.111266,0.6841749,0.6465523,1.190075
1.1486,0.9981733,0.5678287,1.196393
1.135874,1.306441,0.4531787,1.141985
1.074689,1.552011,0.3248345,1.05421
0.9733558,1.701071,0.2225999,0.9706457
0.8402702,1.749951,0.1846177,0.928911
0.6824342,1.724184,0.2261892,0.9563411
0.5100987,1.669698,0.3330672,1.061972
0.3414951,1.638756,0.4735401,1.232994
0.20071,1.674063,0.6179935,1.436728
0.1081774,1.795433,0.7494769,1.627784
0.07068878,1.992562,0.8592067,1.758718
0.07943934,2.226003,0.9357465,1.791793
0.1180257,2.436165,0.9623886,1.708756
0.1737873,2.558348,0.9278399,1.516274
0.2431551,2.539881,0.8406496,1.245531
0.3275503,2.355003,0.7320351,0.9458423
0.4252648,2.013604,0.641223,0.6737929
0.5281515,1.561317,0.5932182,0.4803924
0.6266736,1.07081,0.5865387,0.3993535
0.7180464,0.6261615,0.5999984,0.4393915
0.8084667,0.3040792,0.6112605,0.5824742
0.9057287,0.1566643,0.6105916,0.788488
1.008098,0.1999743,0.5993421,1.005371
1.099668,0.4110593,0.5780549,1.182011
1.157254,0.7345658,0.5390492,1.280945
1.163684,1.096827,0.4727932,1.287498
1.116531,1.424141,0.3827422,1.213161
1.025712,1.660522,0.2933689,1.092148
0.9035686,1.780382,0.2409701,0.9721558
0.7576129,1.792999,0.2526086,0.9012856
0.5927967,1.737835,0.3297663,0.9148321
0.4199746,1.67164,0.4497632,1.025025
0.2605118,1.651281,0.5825826,1.216687
0.1401729,1.716466,0.7078207,1.449854
0.07581877,1.877199,0.8179176,1.669066
0.06604868,2.109248,0.9081313,1.816903
0.09437352,2.35912,0.9662807,1.848705
0.1424589,2.557123,0.9750699,1.744412
0.2020607,2.635657,0.9263249,1.514758
0.2759063,2.547563,0.8334366,1.199846
0.3681031,2.280076,0.7285343,0.860514
0.4744757,1.860577,0.6444559,0.5643054
0.5826904,1.352314,0.5955487,0.3696848
0.6819691,0.8411798,0.5730595,0.3120642
0.7722702,0.4167047,0.5577034,0.3955622
0.8629428,0.15164,0.5371778,0.5922612
0.9607885,0.08563916,0.5129341,0.8494692
1.058323,0.2168093,0.4919516,1.103034
1.133601,0.5032987,0.4738424,1.293486
1.162816,0.8745149,0.4479018,1.380892
1.135281,1.249033,0.4041227,1.354684
1.058108,1.554579,0.3478425,1.235837
0.9475588,1.745181,0.302849,1.070959
0.8161997,1.810914,0.2980008,0.9194744
0.6682283,1.778023,0.3477105,0.8375208
0.5067682,1.699444,0.442664,0.8624423
0.3445889,1.638306,0.5581089,1.002012
0.2059097,1.648921,0.6714471,1.231293
0.1152786,1.760275,0.7732372,1.498048
0.08248453,1.966409,0.8630968,1.7354
0.09701618,2.226436,0.9369746,1.878827
0.1375179,2.474203,0.980436,1.882876
0.1882313,2.635284,0.9761831,1.733525
0.2480682,2.646831,0.9195182,1.452902
0.3251199,2.475217,0.8267068,1.094904
0.4230152,2.12673,0.7271743,0.7328324
0.532989,1.648477,0.6451055,0.4420011
0.6393047,1.119089,0.586038,0.2815065
0.7325018,0.6314074,0.5393935,0.2800289
0.8167606,0.2713194,0.4932611,0.429075
0.9033333,0.09824308,0.4471422,0.6853862
0.9954474,0.1319205,0.4110524,0.9822018
1.079013,0.3488476,0.3931655,1.246224
1.128642,0.6893203,0.3892601,1.416123
1.124561,1.073003,0.3852641,1.458003
1.065708,1.41907,0.3711076,1.373556
0.9679748,1.665943,0.3527248,1.199001
0.8501535,1.785287,0.3501478,0.995141
0.7213583,1.786996,0.3825462,0.8307306
0.5814945,1.714043,0.453219,0.7638717
0.4331999,1.628451,0.5475449,0.8259983
0.2920564,1.592542,0.6450746,1.012727
0.1834757,1.650255,0.7338872,1.284072
0.1274236,1.8135,0.8141104,1.574058
0.1245242,2.057481,0.8885448,1.80724
0.1566181,2.326027,0.9507746,1.918263
0.2018152,2.54563,0.9836775,1.869003
0.2507535,2.644944,0.9708557,1.659194
0.3098684,2.574094,0.9106977,1.32754
0.3896922,2.319209,0.8198486,0.942931
